Key,Time(2025-04-22),mask,F8P,ABS
1745273393,6:09:53,1,-0.085,0.085
1745273394,6:09:54,1,-0.091,0.091
1745273395,6:09:55,1,-0.101,0.101
1745273396,6:09:56,1,-0.103,0.103
1745273397,6:09:57,1,-0.103,0.103
1745273398,6:09:58,1,-0.108,0.108
1745273399,6:09:59,1,-0.092,0.092
1745273400,6:10:00,1,-0.079,0.079
1745273401,6:10:01,1,-0.078,0.078
1745273402,6:10:02,1,-0.075,0.075
1745273403,6:10:03,1,-0.067,0.067
1745273404,6:10:04,1,-0.068,0.068
1745273405,6:10:05,1,-0.069,0.069
1745273406,6:10:06,1,-0.078,0.078
1745273407,6:10:07,1,-0.085,0.085
1745273408,6:10:08,1,-0.087,0.087
1745273409,6:10:09,1,-0.092,0.092
1745273410,6:10:10,1,-0.093,0.093
1745273411,6:10:11,1,-0.093,0.093
1745273412,6:10:12,1,-0.097,0.097
1745273413,6:10:13,1,-0.091,0.091
1745273414,6:10:14,1,-0.091,0.091
1745273415,6:10:15,1,-0.092,0.092
1745273416,6:10:16,1,-0.093,0.093
1745273417,6:10:17,1,-0.096,0.096
1745273418,6:10:18,1,-0.095,0.095
1745273419,6:10:19,1,-0.095,0.095
1745273420,6:10:20,1,-0.095,0.095
1745273421,6:10:21,1,-0.095,0.095
1745273422,6:10:22,1,-0.093,0.093
1745273423,6:10:23,1,-0.093,0.093
1745273424,6:10:24,1,-0.092,0.092
1745273425,6:10:25,1,-0.091,0.091
1745273426,6:10:26,1,-0.093,0.093
1745273427,6:10:27,1,-0.091,0.091
1745273428,6:10:28,1,-0.093,0.093
1745273429,6:10:29,1,-0.092,0.092
1745273430,6:10:30,1,-0.091,0.091
1745273431,6:10:31,1,-0.094,0.094
1745273432,6:10:32,1,-0.094,0.094
1745273433,6:10:33,1,-0.093,0.093
1745273434,6:10:34,1,-0.089,0.089
1745273435,6:10:35,1,-0.096,0.096
1745273436,6:10:36,1,-0.095,0.095
1745273437,6:10:37,1,-0.09,0.09
1745273438,6:10:38,1,-0.094,0.094
1745273439,6:10:39,1,-0.096,0.096
1745273440,6:10:40,1,-0.096,0.096
1745273441,6:10:41,1,-0.095,0.095
1745273442,6:10:42,1,-0.094,0.094
1745273443,6:10:43,1,-0.095,0.095
1745273444,6:10:44,1,-0.093,0.093
1745273445,6:10:45,1,-0.096,0.096
1745273446,6:10:46,1,-0.097,0.097
1745273447,6:10:47,1,-0.094,0.094
1745273448,6:10:48,1,-0.091,0.091
1745273449,6:10:49,1,-0.092,0.092
1745273450,6:10:50,1,-0.097,0.097
1745273451,6:10:51,1,-0.095,0.095
1745273452,6:10:52,1,-0.098,0.098
1745273453,6:10:53,1,-0.097,0.097
1745273454,6:10:54,1,-0.094,0.094
1745273455,6:10:55,1,-0.097,0.097
1745273456,6:10:56,1,-0.094,0.094
1745273457,6:10:57,1,-0.096,0.096
1745273458,6:10:58,1,-0.098,0.098
1745273459,6:10:59,1,-0.095,0.095
1745273460,6:11:00,1,-0.094,0.094
1745273461,6:11:01,1,-0.095,0.095
1745273462,6:11:02,1,-0.096,0.096
1745273463,6:11:03,1,-0.095,0.095
1745273464,6:11:04,1,-0.096,0.096
1745273465,6:11:05,1,-0.096,0.096
1745273466,6:11:06,1,-0.097,0.097
1745273467,6:11:07,1,-0.099,0.099
1745273468,6:11:08,1,-0.092,0.092
1745273469,6:11:09,1,-0.096,0.096
1745273470,6:11:10,1,-0.095,0.095
1745273471,6:11:11,1,-0.097,0.097
1745273472,6:11:12,1,-0.096,0.096
1745273473,6:11:13,1,-0.098,0.098
1745273474,6:11:14,1,-0.099,0.099
1745273475,6:11:15,1,-0.095,0.095
1745273476,6:11:16,1,-0.098,0.098
1745273477,6:11:17,1,-0.098,0.098
1745273478,6:11:18,1,-0.095,0.095
1745273479,6:11:19,1,-0.098,0.098
1745273480,6:11:20,1,-0.096,0.096
1745273481,6:11:21,1,-0.097,0.097
1745273482,6:11:22,1,-0.097,0.097
1745273483,6:11:23,1,-0.093,0.093
1745273484,6:11:24,1,-0.097,0.097
1745273485,6:11:25,1,-0.098,0.098
1745273486,6:11:26,1,-0.094,0.094
1745273487,6:11:27,1,-0.097,0.097
1745273488,6:11:28,1,-0.097,0.097
1745273489,6:11:29,1,-0.095,0.095
1745273490,6:11:30,1,-0.095,0.095
1745273491,6:11:31,1,-0.098,0.098
1745273492,6:11:32,1,-0.095,0.095
1745273493,6:11:33,1,-0.101,0.101
1745273494,6:11:34,1,-0.099,0.099
1745273495,6:11:35,1,-0.101,0.101
1745273496,6:11:36,1,-0.096,0.096
1745273497,6:11:37,1,-0.101,0.101
1745273498,6:11:38,1,-0.101,0.101
1745273499,6:11:39,1,-0.1,0.1
1745273500,6:11:40,1,-0.1,0.1
1745273501,6:11:41,1,-0.102,0.102
1745273502,6:11:42,1,-0.1,0.1
1745273503,6:11:43,1,-0.097,0.097
1745273504,6:11:44,1,-0.094,0.094
1745273505,6:11:45,1,-0.096,0.096
1745273506,6:11:46,1,-0.1,0.1
1745273507,6:11:47,1,-0.097,0.097
1745273508,6:11:48,1,-0.096,0.096
1745273509,6:11:49,1,-0.096,0.096
1745273510,6:11:50,1,-0.097,0.097
1745273511,6:11:51,1,-0.098,0.098
1745273512,6:11:52,1,-0.097,0.097
1745273513,6:11:53,1,-0.095,0.095
1745273514,6:11:54,1,-0.097,0.097
1745273515,6:11:55,1,-0.097,0.097
1745273516,6:11:56,1,-0.101,0.101
1745273517,6:11:57,1,-0.098,0.098
1745273518,6:11:58,1,-0.094,0.094
1745273519,6:11:59,1,-0.094,0.094
1745273520,6:12:00,1,-0.097,0.097
1745273521,6:12:01,1,-0.095,0.095
1745273522,6:12:02,1,-0.096,0.096
1745273523,6:12:03,1,-0.097,0.097
1745273524,6:12:04,1,-0.098,0.098
1745273525,6:12:05,1,-0.096,0.096
1745273526,6:12:06,1,-0.095,0.095
1745273527,6:12:07,1,-0.094,0.094
1745273528,6:12:08,1,-0.093,0.093
1745273529,6:12:09,1,-0.096,0.096
1745273530,6:12:10,1,-0.098,0.098
1745273531,6:12:11,1,-0.096,0.096
1745273532,6:12:12,1,-0.096,0.096
1745273533,6:12:13,1,-0.097,0.097
1745273534,6:12:14,1,-0.098,0.098
1745273535,6:12:15,1,-0.097,0.097
1745273536,6:12:16,1,-0.097,0.097
1745273537,6:12:17,1,-0.094,0.094
1745273538,6:12:18,1,-0.097,0.097
1745273539,6:12:19,1,-0.093,0.093
1745273540,6:12:20,1,-0.093,0.093
1745273541,6:12:21,1,-0.096,0.096
1745273542,6:12:22,1,-0.097,0.097
1745273543,6:12:23,1,-0.099,0.099
1745273544,6:12:24,1,-0.1,0.1
1745273545,6:12:25,1,-0.095,0.095
1745273546,6:12:26,1,-0.097,0.097
1745273547,6:12:27,1,-0.096,0.096
1745273548,6:12:28,1,-0.092,0.092
1745273549,6:12:29,1,-0.091,0.091
1745273550,6:12:30,1,-0.096,0.096
1745273551,6:12:31,1,-0.096,0.096
1745273552,6:12:32,1,-0.097,0.097
1745273553,6:12:33,1,-0.098,0.098
1745273554,6:12:34,1,-0.1,0.1
1745273555,6:12:35,1,-0.098,0.098
1745273556,6:12:36,1,-0.099,0.099
1745273557,6:12:37,1,-0.099,0.099
1745273558,6:12:38,1,-0.096,0.096
1745273559,6:12:39,1,-0.098,0.098
1745273560,6:12:40,1,-0.099,0.099
1745273561,6:12:41,1,-0.097,0.097
1745273562,6:12:42,1,-0.095,0.095
1745273563,6:12:43,1,-0.099,0.099
1745273564,6:12:44,1,-0.101,0.101
1745273565,6:12:45,1,-0.1,0.1
1745273566,6:12:46,1,-0.097,0.097
1745273567,6:12:47,1,-0.098,0.098
1745273568,6:12:48,1,-0.099,0.099
1745273569,6:12:49,1,-0.098,0.098
1745273570,6:12:50,1,-0.099,0.099
1745273571,6:12:51,1,-0.098,0.098
1745273572,6:12:52,1,-0.097,0.097
1745273573,6:12:53,1,-0.098,0.098
1745273574,6:12:54,1,-0.102,0.102
1745273575,6:12:55,1,-0.099,0.099
1745273576,6:12:56,1,-0.101,0.101
1745273577,6:12:57,1,-0.099,0.099
1745273578,6:12:58,1,-0.104,0.104
1745273579,6:12:59,1,-0.098,0.098
1745273580,6:13:00,1,-0.096,0.096
1745273581,6:13:01,1,-0.107,0.107
1745273582,6:13:02,1,-0.113,0.113
1745273583,6:13:03,1,-0.113,0.113
1745273584,6:13:04,1,-0.104,0.104
1745273585,6:13:05,1,-0.092,0.092
1745273586,6:13:06,1,-0.089,0.089
1745273587,6:13:07,1,-0.088,0.088
1745273588,6:13:08,1,-0.086,0.086
1745273589,6:13:09,1,-0.086,0.086
1745273590,6:13:10,1,-0.088,0.088
1745273591,6:13:11,1,-0.093,0.093
1745273592,6:13:12,1,-0.1,0.1
1745273593,6:13:13,1,-0.098,0.098
1745273594,6:13:14,1,-0.098,0.098
1745273595,6:13:15,1,-0.063,0.063
1745273596,6:13:16,1,-0.032,0.032
1745273597,6:13:17,1,-0.026,0.026
1745273598,6:13:18,1,-0.017,0.017
1745273599,6:13:19,1,-0.015,0.015
1745273600,6:13:20,1,-0.003,0.003
1745273601,6:13:21,1,0.004,0.004
1745273602,6:13:22,1,0.009,0.009
1745273603,6:13:23,1,0.019,0.019
1745273604,6:13:24,1,0.042,0.042
1745273605,6:13:25,1,0.041,0.041
1745273606,6:13:26,1,0.045,0.045
1745273607,6:13:27,1,0.08,0.08
1745273608,6:13:28,1,0.106,0.106
1745273609,6:13:29,1,0.099,0.099
1745273610,6:13:30,1,0.102,0.102
1745273611,6:13:31,1,0.1,0.1
1745273612,6:13:32,1,0.099,0.099
1745273613,6:13:33,1,0.105,0.105
1745273614,6:13:34,1,0.11,0.11
1745273615,6:13:35,1,0.11,0.11
1745273616,6:13:36,1,0.106,0.106
1745273617,6:13:37,1,0.099,0.099
1745273618,6:13:38,1,0.108,0.108
1745273619,6:13:39,1,0.109,0.109
1745273620,6:13:40,1,0.1,0.1
1745273621,6:13:41,1,0.134,0.134
1745273622,6:13:42,1,0.136,0.136
1745273623,6:13:43,1,0.15,0.15
1745273624,6:13:44,1,0.194,0.194
1745273625,6:13:45,1,0.22,0.22
1745273626,6:13:46,1,0.226,0.226
1745273627,6:13:47,1,0.23,0.23
1745273628,6:13:48,1,0.255,0.255
1745273629,6:13:49,1,0.254,0.254
1745273630,6:13:50,1,0.267,0.267
1745273631,6:13:51,1,0.272,0.272
1745273632,6:13:52,1,0.301,0.301
1745273633,6:13:53,1,0.339,0.339
1745273634,6:13:54,1,0.348,0.348
1745273635,6:13:55,1,0.348,0.348
1745273636,6:13:56,1,0.352,0.352
1745273637,6:13:57,1,0.347,0.347
1745273638,6:13:58,1,0.348,0.348
1745273639,6:13:59,1,0.348,0.348
1745273640,6:14:00,1,0.346,0.346
1745273641,6:14:01,1,0.346,0.346
1745273642,6:14:02,1,0.345,0.345
1745273643,6:14:03,1,0.35,0.35
1745273644,6:14:04,1,0.352,0.352
1745273645,6:14:05,1,0.352,0.352
1745273646,6:14:06,1,0.354,0.354
1745273647,6:14:07,1,0.355,0.355
1745273648,6:14:08,1,0.352,0.352
1745273649,6:14:09,1,0.349,0.349
1745273650,6:14:10,1,0.349,0.349
1745273651,6:14:11,1,0.349,0.349
1745273652,6:14:12,1,0.35,0.35
1745273653,6:14:13,1,0.352,0.352
1745273654,6:14:14,1,0.354,0.354
1745273655,6:14:15,1,0.357,0.357
1745273656,6:14:16,1,0.359,0.359
1745273657,6:14:17,1,0.362,0.362
1745273658,6:14:18,1,0.361,0.361
1745273659,6:14:19,1,0.362,0.362
1745273660,6:14:20,1,0.364,0.364
1745273661,6:14:21,1,0.365,0.365
1745273662,6:14:22,1,0.366,0.366
1745273663,6:14:23,1,0.367,0.367
1745273664,6:14:24,1,0.365,0.365
1745273665,6:14:25,1,0.365,0.365
1745273666,6:14:26,1,0.368,0.368
1745273667,6:14:27,1,0.371,0.371
1745273668,6:14:28,1,0.371,0.371
1745273669,6:14:29,1,0.374,0.374
1745273670,6:14:30,1,0.375,0.375
1745273671,6:14:31,1,0.381,0.381
1745273672,6:14:32,1,0.383,0.383
1745273673,6:14:33,1,0.385,0.385
1745273674,6:14:34,1,0.386,0.386
1745273675,6:14:35,1,0.386,0.386
1745273676,6:14:36,1,0.388,0.388
1745273677,6:14:37,1,0.389,0.389
1745273678,6:14:38,1,0.389,0.389
1745273679,6:14:39,1,0.387,0.387
1745273680,6:14:40,1,0.387,0.387
1745273681,6:14:41,1,0.389,0.389
1745273682,6:14:42,1,0.391,0.391
1745273683,6:14:43,1,0.394,0.394
1745273684,6:14:44,1,0.397,0.397
1745273685,6:14:45,1,0.396,0.396
1745273686,6:14:46,1,0.398,0.398
1745273687,6:14:47,1,0.399,0.399
1745273688,6:14:48,1,0.399,0.399
1745273689,6:14:49,1,0.401,0.401
1745273690,6:14:50,1,0.402,0.402
1745273691,6:14:51,1,0.399,0.399
1745273692,6:14:52,1,0.397,0.397
1745273693,6:14:53,1,0.393,0.393
1745273694,6:14:54,1,0.393,0.393
1745273695,6:14:55,1,0.365,0.365
1745273696,6:14:56,1,0.339,0.339
1745273697,6:14:57,1,0.315,0.315
1745273698,6:14:58,1,0.306,0.306
1745273699,6:14:59,1,0.299,0.299
1745273700,6:15:00,1,0.293,0.293
1745273701,6:15:01,1,0.287,0.287
1745273702,6:15:02,1,0.28,0.28
1745273703,6:15:03,1,0.275,0.275
1745273704,6:15:04,1,0.271,0.271
1745273705,6:15:05,1,0.267,0.267
1745273706,6:15:06,1,0.263,0.263
1745273707,6:15:07,1,0.26,0.26
1745273708,6:15:08,1,0.257,0.257
1745273709,6:15:09,1,0.255,0.255
1745273710,6:15:10,1,0.252,0.252
1745273711,6:15:11,1,0.25,0.25
1745273712,6:15:12,1,0.248,0.248
1745273713,6:15:13,1,0.246,0.246
1745273714,6:15:14,1,0.245,0.245
1745273715,6:15:15,1,0.245,0.245
1745273716,6:15:16,1,0.245,0.245
1745273717,6:15:17,1,0.244,0.244
1745273718,6:15:18,1,0.244,0.244
1745273719,6:15:19,1,0.245,0.245
1745273720,6:15:20,1,0.245,0.245
1745273721,6:15:21,1,0.245,0.245
1745273722,6:15:22,1,0.245,0.245
1745273723,6:15:23,1,0.245,0.245
1745273724,6:15:24,1,0.245,0.245
1745273725,6:15:25,1,0.245,0.245
1745273726,6:15:26,1,0.245,0.245
1745273727,6:15:27,1,0.245,0.245
1745273728,6:15:28,1,0.246,0.246
1745273729,6:15:29,1,0.245,0.245
1745273730,6:15:30,1,0.245,0.245
1745273731,6:15:31,1,0.244,0.244
1745273732,6:15:32,1,0.244,0.244
1745273733,6:15:33,1,0.237,0.237
1745273734,6:15:34,1,0.23,0.23
1745273735,6:15:35,1,0.231,0.231
1745273736,6:15:36,1,0.224,0.224
1745273737,6:15:37,1,0.216,0.216
1745273738,6:15:38,1,0.207,0.207
1745273739,6:15:39,1,0.198,0.198
1745273740,6:15:40,1,0.189,0.189
1745273741,6:15:41,1,0.18,0.18
1745273742,6:15:42,1,0.186,0.186
1745273743,6:15:43,1,0.179,0.179
1745273744,6:15:44,1,0.185,0.185
1745273745,6:15:45,1,0.191,0.191
1745273746,6:15:46,1,0.186,0.186
1745273747,6:15:47,1,0.192,0.192
1745273748,6:15:48,1,0.199,0.199
1745273749,6:15:49,1,0.205,0.205
1745273750,6:15:50,1,0.211,0.211
1745273751,6:15:51,1,0.217,0.217
1745273752,6:15:52,1,0.224,0.224
1745273753,6:15:53,1,0.231,0.231
1745273754,6:15:54,1,0.239,0.239
1745273755,6:15:55,1,0.247,0.247
1745273756,6:15:56,1,0.255,0.255
1745273757,6:15:57,1,0.252,0.252
1745273758,6:15:58,1,0.248,0.248
1745273759,6:15:59,1,0.257,0.257
1745273760,6:16:00,1,0.253,0.253
1745273761,6:16:01,1,0.262,0.262
1745273762,6:16:02,1,0.272,0.272
1745273763,6:16:03,1,0.281,0.281
1745273764,6:16:04,1,0.291,0.291
1745273765,6:16:05,1,0.3,0.3
1745273766,6:16:06,1,0.309,0.309
1745273767,6:16:07,1,0.306,0.306
1745273768,6:16:08,1,0.302,0.302
1745273769,6:16:09,1,0.297,0.297
1745273770,6:16:10,1,0.292,0.292
1745273771,6:16:11,1,0.286,0.286
1745273772,6:16:12,1,0.298,0.298
1745273773,6:16:13,1,0.308,0.308
1745273774,6:16:14,1,0.318,0.318
1745273775,6:16:15,1,0.327,0.327
1745273776,6:16:16,1,0.337,0.337
1745273777,6:16:17,1,0.346,0.346
1745273778,6:16:18,1,0.354,0.354
1745273779,6:16:19,1,0.362,0.362
1745273780,6:16:20,1,0.37,0.37
1745273781,6:16:21,1,0.379,0.379
1745273782,6:16:22,1,0.387,0.387
1745273783,6:16:23,1,0.396,0.396
1745273784,6:16:24,1,0.406,0.406
1745273785,6:16:25,1,0.416,0.416
1745273786,6:16:26,1,0.424,0.424
1745273787,6:16:27,1,0.432,0.432
1745273788,6:16:28,1,0.441,0.441
1745273789,6:16:29,1,0.434,0.434
1745273790,6:16:30,1,0.426,0.426
1745273791,6:16:31,1,0.417,0.417
1745273792,6:16:32,1,0.407,0.407
1745273793,6:16:33,1,0.396,0.396
1745273794,6:16:34,1,0.386,0.386
1745273795,6:16:35,1,0.375,0.375
1745273796,6:16:36,1,0.39,0.39
1745273797,6:16:37,1,0.403,0.403
1745273798,6:16:38,1,0.417,0.417
1745273799,6:16:39,1,0.43,0.43
1745273800,6:16:40,1,0.443,0.443
1745273801,6:16:41,1,0.455,0.455
1745273802,6:16:42,1,0.45,0.45
1745273803,6:16:43,1,0.444,0.444
1745273804,6:16:44,1,0.438,0.438
1745273805,6:16:45,1,0.43,0.43
1745273806,6:16:46,1,0.422,0.422
1745273807,6:16:47,1,0.413,0.413
1745273808,6:16:48,1,0.405,0.405
1745273809,6:16:49,1,0.423,0.423
1745273810,6:16:50,1,0.416,0.416
1745273811,6:16:51,1,0.409,0.409
1745273812,6:16:52,1,0.402,0.402
1745273813,6:16:53,1,0.394,0.394
1745273814,6:16:54,1,0.387,0.387
1745273815,6:16:55,1,0.38,0.38
1745273816,6:16:56,1,0.373,0.373
1745273817,6:16:57,1,0.366,0.366
1745273818,6:16:58,1,0.358,0.358
1745273819,6:16:59,1,0.35,0.35
1745273820,6:17:00,1,0.341,0.341
1745273821,6:17:01,1,0.333,0.333
1745273822,6:17:02,1,0.324,0.324
1745273823,6:17:03,1,0.315,0.315
1745273824,6:17:04,1,0.307,0.307
1745273825,6:17:05,1,0.299,0.299
1745273826,6:17:06,1,0.291,0.291
1745273827,6:17:07,1,0.283,0.283
1745273828,6:17:08,1,0.274,0.274
1745273829,6:17:09,1,0.265,0.265
1745273830,6:17:10,1,0.257,0.257
1745273831,6:17:11,1,0.248,0.248
1745273832,6:17:12,1,0.239,0.239
1745273833,6:17:13,1,0.231,0.231
1745273834,6:17:14,1,0.223,0.223
1745273835,6:17:15,1,0.215,0.215
1745273836,6:17:16,1,0.206,0.206
1745273837,6:17:17,1,0.197,0.197
1745273838,6:17:18,1,0.187,0.187
1745273839,6:17:19,1,0.177,0.177
1745273840,6:17:20,1,0.167,0.167
1745273841,6:17:21,1,0.157,0.157
1745273842,6:17:22,1,0.147,0.147
1745273843,6:17:23,1,0.137,0.137
1745273844,6:17:24,1,0.126,0.126
1745273845,6:17:25,1,0.115,0.115
1745273846,6:17:26,1,0.104,0.104
1745273847,6:17:27,1,0.093,0.093
1745273848,6:17:28,1,0.082,0.082
1745273849,6:17:29,1,0.072,0.072
1745273850,6:17:30,1,0.062,0.062
1745273851,6:17:31,1,0.051,0.051
1745273852,6:17:32,1,0.041,0.041
1745273853,6:17:33,1,0.031,0.031
1745273854,6:17:34,1,0.021,0.021
1745273855,6:17:35,1,0.013,0.013
